,max_Df_complete
GAPD,18.7779806065017
MDH,5.767087936396653
TPI,21.828720981565006
TKT1,58.45744196313001
PGCD,1.5670879363966534
PRPPS,32.90708793639665
IPMD,15.467087936396652
CBMKr,-9.48637988299135
DHQTi,32.628720981565
ACACT5r,21.95744196313001
ACACT4r,22.15744196313001
DHORTS_reverse,20.828720981565006
ACACT6r,22.15744196313001
ACACT7r,22.15744196313001
GLU5K,6.467087936396652
PGAMT_reverse,24.228720981565004
CTECOAI7_reverse,27.328720981565006
FLDR2,44.995808917961654
DXYLTD_reverse,-14.571279018434993
2DDARAA_reverse,31.639613651670018
PDX5PO2,10.767087936396653
