,max_concentration,min_concentration
3pg_c,-4.706498138204186,-4.706499689193391
13dpg_c,-9.841628218586616,-9.841629769575821
pi_c,-3.9120230049999805,-3.912024555989186
3php_c,-14.508656189010809,-14.50865774
nad_c,-3.912023005,-12.206072647005957
atp_c,-3.912023005,-12.206072647005957
fdp_c,-3.912023005,-3.9120261069784106
adp_c,-6.214608097994046,-14.508657740000004
nadh_c,-6.214608097994046,-14.508657740000004
dhap_c,-4.767177070549137,-4.76718017252765
g3p_c,-6.712945417917595,-6.712946968906851
