,max_concentration,min_concentration
pep_c,-14.508655413516387,-14.50865774
nadph_c,-3.912023005,-12.206072647005957
nadh_c,-6.214608097994046,-14.508657740000004
13dpg_c,-10.822943164106618,-10.822945490590232
g3p_c,-3.912023005,-3.9120253314836146
aspsa_c,-14.508655413516419,-14.50865774
4pasp_c,-11.621986049061121,-11.621988375544703
adp_c,-6.214608097994046,-14.508657740000004
asp__L_c,-3.912023005,-3.912025331483583
nad_c,-3.912023005,-12.206072647005957
3pg_c,-8.752655688455988,-8.7526580149396
2pg_c,-13.220419025201007,-13.220421351684621
nadp_c,-6.214608097994046,-14.508657740000004
pi_c,-4.629417758705784,-4.629420085189399
atp_c,-3.912023005,-12.206072647005957
